sku,name,vendor,category,status,description,material,color,price,currency,lead_time,country_of_origin,image_url_1,image_url_2,image_url_3,source_url,created_at,updated_at
3170002,Wind Chime Matte Ivory,Fabricut,fabric,APPROVED,"Wind Chime Matte Ivory is a high-end contemporary fabric from S. Harris, featuring an exclusive pattern. It is made of 100% linen and is suitable for bedding, drapery, and multipurpose uses. The fabric is reversible and dry clean only, with a large scale abstract print pattern.",100% Linen,"Linen, Off White / Ivory",,,,Italy,https://s3.amazonaws.com/fabricut.img/img/product_images/2505102.jpg,https://s3.amazonaws.com/fabricut.img/img/product_images/thumbnails/2505101.jpg,,https://fabricut.com/sharris/fabric/3170002/wind-chime-matte/ivory,2026-02-20T07:35:28.766466,2026-02-22T17:06:03.736028
3170202,Wind Chime Matte 02,Fabricut,fabric,APPROVED,"Wind Chime Matte 02 is a high-end contemporary fabric from S. Harris, featuring an exclusive pattern. It is made of 100% linen and is suitable for bedding, drapery, and multipurpose uses. The fabric is reversible and dry clean only, with a large scale abstract print pattern.",100% Linen,"Linen, Off White / Ivory",,,,Italy,https://s3.amazonaws.com/fabricut.img/img/product_images/2505102.jpg,https://s3.amazonaws.com/fabricut.img/img/product_images/thumbnails/2505101.jpg,,https://fabricut.com/sharris/fabric/3170202/wind-chime-matte/02,2026-02-20T07:35:34.083568,2026-02-22T17:06:03.736029
2505302,Wind Chime 02,Fabricut,fabric,APPROVED,"Wind Chime 02 is a high-end contemporary fabric from S. Harris, featuring an exclusive print pattern. Made from 100% linen, it is suitable for bedding, drapery, and multipurpose uses. The fabric is reversible and dry clean only, with a large scale abstract design in linen and off white/ivory colors. It exceeds 51,000 double rubs, ensuring durability.",100% Linen,"Linen, Off White / Ivory",,,,Italy,https://s3.amazonaws.com/fabricut.img/img/product_images/2505102.jpg,https://s3.amazonaws.com/fabricut.img/img%2Fproduct_images%2Fsecondary_images%2F2505102.jpg,https://s3.amazonaws.com/fabricut.img/img%2Fproduct_images%2Fsecondary_images%2F2505102_stylized_secondary.jpg,https://fabricut.com/sharris/fabric/2505302/wind-chime/02,2026-02-20T07:35:39.939309,2026-02-22T17:06:03.736009
2505102,Wind Chime Ivory,Fabricut,fabric,APPROVED,"Wind Chime Ivory is a high-end contemporary fabric from S. Harris, featuring an exclusive print pattern. It is made of 100% linen and is suitable for bedding, drapery, and multipurpose uses. The fabric is reversible and dry clean only, with a large scale abstract design in linen and off white/ivory colors. It exceeds 51,000 double rubs, ensuring durability.",100% Linen,"Linen, Off White / Ivory",,,,Italy,https://s3.amazonaws.com/fabricut.img/img/product_images/2505102.jpg,https://s3.amazonaws.com/fabricut.img/img%2Fproduct_images%2Fsecondary_images%2F2505102.jpg,https://s3.amazonaws.com/fabricut.img/img%2Fproduct_images%2Fsecondary_images%2F2505102_stylized_secondary.jpg,https://fabricut.com/sharris/fabric/2505102/wind-chime/ivory,2026-02-20T07:35:46.590098,2026-02-22T17:06:03.736007
ADR OTTO,Adrian Ottoman,Verellen,furniture,APPROVED,"A versatile piece perfect for propping up your feet, extra seating, or even as a chic coffee table alternative, adding a touch of cozy luxury and playful style to any room!",Fabric and Leather options available,Various colors available,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/A/D/ADR0409_adrian66x24ottoman_crystalivory_Main_1.jpg,https:///magento.verellen.biz/media/catalog/product/A/D/ADR0431_adrian72x32ottoman_pastellinen0006_G6_1.jpg,https:///magento.verellen.biz/media/catalog/product/A/D/ADR0417_adrian92x24ottoman_milmanatural_G7_1.jpg,https://verellen.biz/adrian-ottoman-adr-otto,2026-02-20T09:47:27.345841,2026-02-22T14:22:59.032268
VER-FUR-37AF0949,Aimee Bed,Verellen,furniture,APPROVED,Our Aimee Bed offers a simple silhouette with a low profile. Available upholstered or slipcovered to suit your style.,Upholstered or Slipcovered,,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/A/I/AIM7003_aimeekingbed_ameliabisque_Main.jpg,https:///magento.verellen.biz/media/catalog/product/A/I/AIM7002_aimeequeenbed_tumbledlinendkgrey_G2_1_1.jpg,https:///magento.verellen.biz/media/catalog/product/A/I/AIM7002_aimeequeenbed_tumbledlinendkgrey_G3.jpg,https://verellen.biz/aimee-bed-aim-bed,2026-02-20T09:47:48.815905,2026-02-22T16:32:21.772654
AME 0521,Amelie Armless Dining Chair,Verellen,furniture,APPROVED,"The Amelie Armless Dining Chair exudes elegance with its sleek, high back, gracefully contoured silhouette, and perfectly cushioned seat, offering a sophisticated and comfortable dining experience.",Fabric or Leather,Varies due to natural characteristics,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/A/M/AME0521_ameliediningchair_adagiopolvere_Main_3.jpg,,,https://verellen.biz/amelie-armless-dining-chair-ame-0521,2026-02-20T09:48:11.175028,2026-02-21T13:55:15.259046
AME BANQ,Amelie Banquette,Verellen,furniture,APPROVED,"An extended version of the Amelie Dining Chair, the Amelie Banquette captivates with its high, gracefully curved backrest, elegant winged sides, and inviting seat.",Fabric or Leather,Varies due to natural characteristics,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/A/I/AIM7003_aimeekingbed_ameliabisque_Main.jpg,https://magento.verellen.biz/media/catalog/product/A/I/AIM7003_aimeekingbed_ameliabisque_G1.jpg,,https://verellen.biz/amelie-banquette-ame-banq,2026-02-20T09:48:38.534596,2026-02-20T09:50:45.668588
AME CNR BANQ,Amelie Corner Banquette,Verellen,furniture,APPROVED,"The Amelie Corner Banquette is a sophisticated piece of furniture designed for comfort and style. It features a variety of size options and is available in curated fabric and leather collections. Enhance your piece with in-house water-based finishes, offering unique variations in color and grain.",Fabric and Leather options available,Varies with fabric and leather selection,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/A/M/AMECNRBANQ_ameliecornerbanquette_sonomasmoke_Main.jpg,https:///magento.verellen.biz/media/catalog/product/A/M/AME2535_amelie86rafbanquettereturn_sonomasmoke_G4_1.jpg,https:///magento.verellen.biz/media/catalog/product/A/M/AME2534_amelie86lafbanquettereturn_sonomasmoke_G6_1.jpg,https://verellen.biz/amelie-corner-banquette-ame-cnr-banq,2026-02-20T09:49:08.556316,2026-02-22T14:23:50.021900
ART ROCK,Arthur Rocker,Verellen,furniture,APPROVED,"The Arthur Rocker blends modern elegance with organic flow. Its tight seat and back offer a tailored, clean profile, while the chair's gentle rocking motion and durable construction make it both a stylish and functional statement piece. Available with carefully sculpted exposed wood arms in an open-frame design or a minimalist armless design featuring a solid hardwood rocking base.",Solid hardwood,,,,,,https://magento.verellen.biz/media/catalog/product/cache/9f66459db7ab372346dc97d6353b7655/A/R/ART1022_arthurrocker_weatonlinen_Main.jpg,https:///magento.verellen.biz/media/catalog/product/A/R/ART1023_arthurrocker_weatonlinen_Hover.jpg,https:///magento.verellen.biz/media/catalog/product/A/R/ART1022_arthurrocker_takobeige_loam_G1_1.jpg,https://verellen.biz/arthur-rocker-art-rock,2026-02-20T09:49:33.772637,2026-02-22T14:33:11.573240
