sku,style,frame_material,upholstery,finish,com_yardage,weight,assembly_required,details_json
ADR OTTO,,,Fabric and Leather options available,,,,,{}
VER-FUR-37AF0949,"Simple silhouette, low profile",,Available upholstered or slipcovered,,,,,{}
AME 0521,,Solid Hardwood,Fabric or Leather,In-house water based finishes,,,,"{""body"":""Upholstered Only"",""seat"":""Tight Seat Configuration\nFoam/Down Construction"",""back"":""Tight Back Configuration\nFoam/Fiber Construction"",""leg_|_base"":""Standard: Exposed Wood\nAvailable in Ash | Oak | Walnut\nSpecify Leg Finish\nOptional: Upholstered Leg"",""additional_details"":""Optional Nailhead Detail - Specify Nailhead Selection""}"
AME BANQ,,Solid Hardwood,Fabric or Leather,In-house water based finishes,,,,"{""body"": ""High, gracefully curved backrest with elegant winged sides."", ""seat"": ""Inviting seat with a seat height of 21.25 inches."", ""back"": ""High, gracefully curved backrest."", ""arm"": ""Arm width of 3 inches."", ""additional_details"": ""Our curated fabric collection is available for upholstery application. Leather collection offers genuine leather and hair on hide options.""}"
AME CNR BANQ,Timeless Sophistication,Solid Hardwood,Fabric and Leather options available,In-house water-based finishes,,,,{}
ART ROCK,Modern,Solid hardwood,,In-house water based finishes,,,,{}
BRI COFFEE,architectural,solid hardwood,,in-house water based finishes,,,,{}
BRI CONSOLE,architectural,solid hardwood,,in-house water based finishes,,,,{}
BRI DESK,architectural,solid hardwood,,in-house water based finishes,,,,{}
BRI SIDE,Architectural,Solid Hardwood,,In-house water based finishes,,,,{}
CHL BENCH,modern,,,,,,,{}
CHA 1000,Minimal,Solid hardwood,Harvest Linen Rust,In-house water based finishes,,,,{}
CHA 0512,,,,,,,,{}
CLO CHAISE,Modern,,Fabric,,,,,{}
COM 9010,modern,solid hardwood,fabric shade,in-house water based finishes,,,,{}
COM 9020,modern,solid hardwood,fabric,in-house water based finishes,,,,{}
COS 0500,modern,solid hardwood,available from curated fabric collection,in-house water based finishes,,,,{}
COU 1022,,Wood,Fabric,Water based finishes available,,,,{}
VER-FUR-39E64376,,,Available in various fabrics,,,,,{}
CRW SECT,,,,,,,,{}
VER-FUR-123CEAB6,Elegant,Solid hardwood,Available in curated fabric collection,In-house water based finishes,,,,{}
ELL OTTO,,Solid Hardwood,"Fabric, Leather",In-house water based finishes,,,,{}
VER-FUR-79702A0D,,,,In-house water based finishes,,,,{}
ELL 1012,,,,,,,,{}
